a1_price,a1_size,a2_price,a2_size,b1_price,b1_size,b2_price,b2_size,stale_seconds
100.0731,0.7623,100.1731,0.9659,100.0225,0.8389,99.9225,1.9759,0.5918
100.0466,0.8763,100.1467,0.8852,99.8921,0.9367,99.7922,1.6426,0.0
100.1112,0.9645,100.2113,1.8465,100.1063,0.7178,100.0062,0.9035,0.3411
100.2223,1.034,100.3226,1.7504,99.9875,0.7567,99.8875,1.6594,0.6113
100.235,0.549,100.3352,1.1496,100.2006,0.5592,100.1004,1.7735,0.6554
100.2225,1.4376,100.3227,1.4333,100.1619,0.994,100.0618,1.3532,0.0741
100.3095,0.7585,100.4098,1.3708,100.4009,1.0631,100.3005,1.9832,0.3713
100.4106,1.1232,100.511,1.8741,100.479,0.8322,100.3786,1.9541,0.7469
100.3536,0.8574,100.4539,1.5213,100.2598,1.1808,100.1595,1.9407,0.6846
100.3869,0.9729,100.4873,1.1223,100.3448,1.2543,100.2445,1.4627,0.1047
100.3398,1.1271,100.4402,1.1875,100.2225,0.9294,100.1223,1.5408,0.0
100.3216,1.4578,100.422,1.4138,100.1389,1.2073,100.0387,1.2933,0.2576
100.3542,0.7906,100.4546,1.2886,100.3433,0.8501,100.2429,1.453,0.3286
100.1972,0.5483,100.2974,1.3953,100.0197,0.586,99.9196,0.9514,1.4912
100.0297,1.4259,100.1297,1.5259,99.9581,1.1254,99.8581,1.2822,0.4858
99.9857,1.2461,100.0857,1.2423,99.8808,1.456,99.7809,1.7846,0.6544
99.9195,1.3393,100.0195,1.0066,99.977,0.6981,99.877,1.1428,0.6409
99.9398,0.4351,100.0398,0.8913,100.1223,0.7013,100.0222,1.0398,0.2447
99.8644,0.655,99.9642,1.7575,99.7062,1.0194,99.6065,0.8069,0.0
99.7536,0.5253,99.8533,1.6114,99.5286,1.1723,99.4291,1.6651,0.0
99.8943,1.2013,99.9942,0.8001,99.857,1.4493,99.7571,1.7771,0.6517
99.8819,1.4402,99.9818,1.3315,99.8233,1.0592,99.7235,1.3716,1.0369
99.8637,1.4261,99.9636,0.8913,99.8693,0.9512,99.7694,1.6243,0.5353
99.7723,1.3998,99.8721,1.9304,99.6676,0.4708,99.5679,1.2828,0.8758
99.7025,0.4258,99.8022,1.1953,99.6731,0.9906,99.5735,1.893,0.464
99.7183,0.9853,99.818,1.1197,99.7268,1.3894,99.6271,1.9128,0.108
99.6149,0.8429,99.7146,1.8684,99.7154,0.8223,99.6157,1.6842,0.0309
99.6637,1.4207,99.7633,1.3449,99.4062,1.2079,99.3068,1.2406,0.3765
99.6308,0.4208,99.7305,0.9206,99.544,0.9458,99.4445,1.628,0.8374
99.5906,1.1685,99.6902,1.6447,99.5997,0.9418,99.5001,1.8979,0.0302
99.5314,0.9381,99.6309,1.3403,99.3812,0.6193,99.2818,1.1692,0.4428
99.6926,0.6734,99.7923,1.165,99.8622,1.2479,99.7623,1.1927,0.2534
99.6679,0.6664,99.7676,1.0029,99.5641,1.2523,99.4645,0.9556,0.5597
99.6178,1.1561,99.7174,1.5599,99.5792,1.2918,99.4796,0.8537,0.0
99.6662,0.7261,99.7659,1.1362,99.6951,0.5606,99.5954,1.147,0.4784
99.5662,1.1301,99.6657,1.2573,99.4605,1.1914,99.3611,1.2034,0.0
99.589,0.7193,99.6886,1.4494,99.3299,0.4261,99.2306,0.8957,0.6224
99.434,1.1937,99.5334,0.9058,99.331,1.3309,99.2316,1.6788,0.3588
99.3028,1.072,99.4021,1.7844,99.4254,0.8445,99.326,1.0658,1.4301
99.3461,0.9922,99.4454,1.4781,99.2891,1.4436,99.1898,1.8827,0.6536
99.3853,1.3633,99.4847,1.7617,99.2626,1.4378,99.1634,0.9182,0.3872
99.4203,1.3312,99.5197,1.4062,99.4864,1.2228,99.3869,0.9668,0.0
99.4159,0.6777,99.5153,1.6781,99.3333,0.5812,99.234,1.2216,0.1122
99.391,1.1792,99.4904,1.2414,99.3043,1.0108,99.205,0.9199,0.0
99.2614,1.2855,99.3607,1.2439,99.2518,1.1134,99.1525,1.6705,0.5071
99.2023,1.0778,99.3015,1.3145,99.2774,0.6006,99.1781,1.9308,0.3191
99.1485,1.2306,99.2477,1.0496,99.4287,0.7715,99.3292,1.7716,0.7633
99.2615,0.8853,99.3608,1.6598,99.3169,0.8251,99.2176,1.0535,0.6675
99.2664,1.0959,99.3656,1.9712,99.3798,0.7417,99.2804,1.3532,0.5647
99.1355,1.3278,99.2346,1.7141,99.0619,0.4641,98.9629,1.9981,1.0903
99.1518,1.2276,99.251,1.8367,99.0177,1.1163,98.9187,1.8275,0.2906
99.1142,1.3641,99.2134,1.042,99.1236,0.4861,99.0245,1.7457,0.1214
99.0824,1.319,99.1815,0.9952,99.078,1.3398,98.9789,1.6241,0.849
99.1054,0.8612,99.2046,1.0328,98.9583,0.7133,98.8594,1.4062,0.4273
99.2192,0.9845,99.3184,1.7667,99.1435,1.2705,99.0444,1.4976,0.1795
99.2743,0.4551,99.3736,1.8484,99.3112,0.4831,99.2119,1.096,0.6009
99.1929,1.1649,99.292,1.2913,99.2223,1.3639,99.1231,1.1576,0.0
99.1911,0.9884,99.2903,1.8519,99.2083,1.4037,99.1091,1.1192,0.813
99.1967,0.9084,99.2959,1.459,99.2115,1.444,99.1122,1.9983,0.6737
99.2851,0.8158,99.3844,0.8097,99.2236,0.4102,99.1244,1.3527,0.0809
99.2661,0.9372,99.3654,0.8271,99.1496,1.1556,99.0505,1.1528,0.0
99.2223,0.5838,99.3215,1.2886,99.0786,0.6555,98.9796,1.4418,0.5889
99.1687,0.6187,99.2679,1.4101,99.3499,0.5731,99.2505,1.6052,0.2422
99.0354,0.9146,99.1345,0.885,99.0541,1.058,98.955,1.1173,0.5029
99.1114,0.9804,99.2105,1.421,99.0714,1.4168,98.9723,1.4589,0.0
99.2421,1.444,99.3414,1.7326,99.1124,0.7139,99.0133,1.8131,0.926
99.2172,0.8756,99.3165,1.7944,99.5641,1.3052,99.4645,1.0266,0.0278
99.2879,0.7272,99.3872,1.1556,99.1602,1.1981,99.0611,1.0758,0.7576
99.3284,0.401,99.4278,1.6583,99.2444,0.5883,99.1451,0.9254,0.1841
99.2728,0.9235,99.3721,0.8535,99.2911,1.4676,99.1918,1.6593,0.0
99.3274,0.7555,99.4268,1.1824,99.3679,0.8934,99.2686,1.5515,0.2869
99.4267,1.3454,99.5261,1.1075,99.5089,0.8182,99.4094,1.8455,0.2715
99.4452,1.1295,99.5446,1.2101,99.608,1.1521,99.5084,0.8236,0.3666
99.575,1.2945,99.6746,1.9456,99.5812,1.4184,99.4816,1.8911,1.0056
99.3448,0.9634,99.4442,1.2322,99.212,0.9115,99.1128,1.6279,0.3211
99.432,1.41,99.5314,1.7782,99.3491,1.4767,99.2498,1.8563,0.5034
99.415,0.7079,99.5144,0.9271,99.4124,0.5235,99.313,1.1495,0.8301
99.4175,1.3892,99.5169,1.5485,99.6116,0.4062,99.5119,1.0236,0.5614
99.3854,0.5097,99.4848,1.236,99.2188,0.9515,99.1196,0.8521,0.0293
99.2533,1.1118,99.3526,1.3571,99.3642,0.9448,99.2648,1.3132,0.2249
99.2271,1.4516,99.3263,1.0577,99.2174,0.9683,99.1182,1.6832,0.6637
99.2509,0.8158,99.3501,1.3564,99.331,0.4974,99.2317,1.5308,0.4349
99.3801,0.717,99.4795,0.9924,99.354,0.999,99.2547,1.4388,0.476
